Average waiting time;Cumulated waiting time;average speed;emission of Co2;evacuated_vehicle;nb_collision;episode reward;nombre episode
0,777051706;9,238622372;5,913911869;21174,59306;322;82;-1390,007412;0
2,054420686;32,11173147;5,308520523;25181,3737;316;38;-596,1530275;1
1,03548161;13,07492754;5,397461324;22290,27958;324;72;-1145,621703;2
1,128455505;14,99153808;5,363913477;22830,13288;328;66;-1095,730772;3
1,191938334;15,21041654;5,403127686;22555,03861;317;52;-798,2447414;4
0,810014696;12,52677127;5,727989978;21247,11971;317;66;-1122,521454;5
1,8912672;31,01379011;5,191229133;25590,98824;324;82;-1358,524759;6
0,816828417;10,12529109;5,941026733;21378,87804;322;48;-736,257376;7
0,694859708;7,448114461;5,666810383;20922,29344;325;60;-1006,495221;8
1,038336795;13,31602291;5,590609869;22617,01647;326;60;-1076,815548;9
0,811819159;8,98847213;5,823940562;21833,52309;324;74;-1298,888542;10
1,324817106;19,81793618;5,390847896;24162,99722;328;76;-1412,509732;11
0,793488671;9,03984365;5,831966967;20996,9002;329;68;-1019,797089;12
2,505320915;42,0765813;5,333603845;24111,3003;324;64;-1040,217521;13
0,966293556;11,71440899;5,299263315;22145,54821;321;70;-1171,173205;14
0,720317541;8,792210586;5,492905921;21740,20391;325;70;-1011,284338;15
1,013577768;13,12663951;5,440368887;22726,10991;317;62;-1000,66463;16
1,511327996;23,11852466;5,438553912;24338,59008;323;74;-1296,071318;17
1,780092337;26,78086875;4,931896421;26157,49793;327;54;-927,2495782;18
0,910995839;11,87346242;5,834659409;21539,95059;322;54;-809,0714313;19
0,658480407;7,305667429;5,430741536;21039,26404;327;56;-845,5007715;20
0,597557564;6,81695919;5,784853514;21076,33547;326;62;-883,5637057;21
1,450339637;19,74971444;5,165896766;23791,51581;325;58;-1062,087463;22
1,276887496;15,23579311;5,704602569;21917,87484;325;68;-1293,24705;23
0,738760106;8,818204974;5,5442524;21351,13006;321;64;-1110,546287;24
1,43847466;18,16650215;5,054059501;23999,77441;323;66;-1023,822147;25
0,908992591;10,25279611;5,504424601;21659,91896;325;76;-1421,540473;26
0,416553712;4,398577242;5,991530814;20131,42728;326;66;-1028,145171;27
