Average waiting time;Cumulated waiting time;average speed;emission of Co2;evacuated_vehicle;nb_collision;episode reward;nombre episode
12,11312815;334,7166342;2,81924722;70263,37197;232;0;-369953,2527;0
10,43489348;376,3800359;2,333721041;88306,28624;295;0;-349642,2423;1
14,10113112;402,2716227;2,730456215;73024,7967;216;0;-457644,1147;2
10,83426404;370,7129117;2,811440928;85735,56;253;0;-333928,8443;3
9,728864513;237,4554208;4,755244199;61797,4024;214;0;-285387,0983;4
9,908507652;362,8937347;2,045115819;91935,87141;295;0;-312124,1192;5
11,3263916;417,357967;1,75860811;92113,28496;298;0;-425899,6299;6
10,9138658;418,4775374;1,533804447;96303,77397;306;0;-447322,0708;7
15,20003855;460,6621549;2,77616147;76792,22679;249;0;-474980,5743;8
8,437625326;379,4637238;1,095808897;110815,0604;370;0;-345240,0001;9
9,56477801;437,7002319;0,837609274;111450,8258;315;0;-479672,1672;10
10,58287168;269,3095555;2,656908731;65390,4277;240;0;-383308,8768;11
12,02594477;386,7146464;1,753108325;82108,63575;266;0;-526695,9558;12
9,43593175;419,7789062;1,035948371;108967,4476;343;0;-451358,8073;13
11,53272525;535,2522158;0,803107202;113057,9146;308;0;-596950,9407;14
10,74533276;504,1729697;0,68391197;114946,0055;287;0;-571168,0457;15
12,23084934;440,9836516;1,846947565;91870,20316;264;0;-456478,8963;16
13,38505912;493,1410867;2,046482957;91793,56919;245;0;-486347,5965;17
12,4887015;452,709969;2,015701792;90052,79348;210;0;-460018,6725;18
9,751287352;423,2691563;0,950426418;106278,5957;324;0;-468340,717;19
10,742161;479,3806455;0,869456666;109248,8085;289;0;-548603,4287;20
10,51660399;478,552739;0,862754037;112407,5739;316;0;-526355,6035;21
10,42890628;390,5339831;1,348450867;95626,80512;292;0;-510616,4411;22
13,17009766;482,375716;2,118662094;90313,18354;230;0;-483830,9112;23
10,28143177;374,1396388;2,041020815;90245,68901;258;0;-353866,9437;24
11,03363479;404,3203599;1,919203828;92795,33123;281;0;-390726,3762;25
10,38284164;359,9384157;2,656944314;84972,34808;257;0;-328325,7268;26
8,105806676;326,9592553;1,20067957;98910,60325;362;0;-354323,7345;27
11,92780743;551,0606362;0,915316495;111649,9996;316;0;-598439,9637;28
8,55041056;346,1135734;1,229988477;101717,2726;336;0;-382357,9619;29
10,59683034;445,1726078;1,419507725;102295,4933;320;0;-447978,8803;30
9,70231678;413,3803475;1,004763187;105422,1017;314;0;-475832,9618;31
11,30700337;517,0795496;0,784306681;113107,9034;300;0;-581944,3501;32
11,09727404;404,8845587;2,375158432;90561,85425;221;0;-390936,0315;33
9,489168779;285,2749933;2,360256808;74634,07956;257;0;-324587,9159;34
13,01541527;576,5485678;0,820700989;109219,7104;279;0;-690976,4574;35
9,151114779;136,0043459;6,611577551;38605,20737;202;0;-241046,3616;36
10,22612732;257,6957785;5,040727611;63193,03228;231;0;-273464,3669;37
13,15698727;534,6581048;1,067702231;103699,522;272;0;-632825,9012;38
