Average waiting time;Cumulated waiting time;average speed;emission of Co2;evacuated_vehicle;nb_collision;episode reward;nombre episode
2,00583774;33,61657724;4,413864;27774,6219;528;152;-2253,237079;0
3,237096245;60,15999419;4,431299056;29417,65654;533;148;-2512,458876;1
3,841253952;73,64762489;4,31842267;31475,60139;536;150;-2663,678046;2
3,640404584;67,57827633;4,286644968;32463,82415;551;130;-2228,251701;3
4,016435777;81,49727923;4,159543543;33334,87963;518;136;-2614,3351;4
2,925864944;49,57688619;4,345818427;29477,60257;540;140;-2312,285974;5
3,570153431;79,38060797;4,144595443;34392,05549;548;154;-2710,841818;6
3,152712949;60,68002867;4,234126573;31905,72752;509;120;-2068,096947;7
2,185041752;34,80231229;4,444288122;27752,00732;517;100;-1785,236784;8
2,934382802;54,39275033;4,348624497;30600,06858;481;122;-2322,101796;9
3,666062664;87,89627091;4,034062451;34971,83306;521;128;-2338,415379;10
2,947462351;56,65497923;4,284297354;30603,85903;557;164;-2585,847927;11
2,763810342;60,62164745;4,302267063;30076,0522;507;132;-2285,021013;12
3,386361502;70,4852228;4,50125985;30107,77689;517;118;-2248,789369;13
3,01208649;52,7847902;4,234538567;29238,33592;491;110;-2102,66362;14
2,153144949;34,59611931;4,734606793;26897,46003;525;148;-2335,814617;15
1,9578842;27,50530357;4,748845185;25399,51395;541;138;-1989,823196;16
4,178709635;85,3814641;4,05290129;34064,92676;537;150;-2714,03963;17
3,667140222;76,24069949;4,270073724;33069,05304;546;154;-2622,401042;18
3,019520073;56,56899576;4,522255548;30038,55703;556;150;-2359,832769;19
3,696225535;68,917977;4,359481936;31815,42293;532;122;-2287,637349;20
2,31968845;38,22970733;4,801991;25852,02484;538;132;-2066,843332;21
1,970195752;30,97090015;4,610052152;26590,71576;543;130;-2077,279855;22
2,285996592;36,02618021;4,714483851;26189,73513;516;132;-2104,648586;23
3,22652222;66,15017897;3,921800046;33180,77727;524;142;-2478,883339;24
2,680244352;47,79853868;4,555344529;29491,36189;544;140;-2317,56221;25
2,865404809;50,08362945;4,624324921;28741,04867;514;126;-2236,816734;26
2,710541693;42,27566643;4,584715586;27837,36476;541;102;-1867,646215;27
2,930921667;48,1116288;4,449859078;28372,19483;531;116;-2114,835163;28
2,238960373;37,57664089;4,190834811;28553,50256;527;152;-2363,116107;29
1,706619421;23,81723802;4,64274702;25251,89359;552;174;-2511,802857;30
2,912418984;52,42900878;4,09583814;30419,61286;542;136;-2329,176217;31
2,826945128;45,97890453;4,515841809;29046,42184;526;128;-2233,342966;32
2,435660054;42,14941453;4,459781285;28438,02449;538;120;-2025,084851;33
3,97457361;93,70257266;4,059396786;36195,98903;539;124;-2405,116528;34
2,358871023;40,08245127;4,619054047;27666,95008;558;162;-2497,467837;35
2,227888731;33,45650154;4,565409026;26957,24271;533;150;-2338,639568;36
3,112808403;62,83556346;4,41716832;32411,90586;541;168;-2694,787977;37
2,148590893;36,9491337;4,423611518;28020,2978;557;164;-2525,37789;38
2,370599161;39,87772528;4,318061129;27987,09925;546;146;-2214,081345;39
3,9915105;83,9577989;3,968407709;35071,04504;529;138;-2533,554679;40
1,504637466;20,39190116;5,123881964;24203,74346;526;108;-1582,267234;41
3,337744366;59,00057317;4,558427621;30337,54941;566;146;-2357,687097;42
2,178823664;35,33933919;4,452288189;27660,64115;545;178;-2771,763842;43
2,40897591;35,23205226;5,083414202;25618,59007;538;140;-2299,673696;44
1,942227335;28,69694493;4,749202924;25926,51978;539;114;-1789,468053;45
2,429321988;44,93414256;4,807604674;27974,39951;539;120;-1887,364479;46
1,979177876;28,55985907;4,749615918;25594,97258;545;128;-2034,410843;47
2,707822387;46,73634386;4,6636701;28483,22685;551;116;-1958,083539;48
2,845358796;57,64999693;4,337787818;31279,48003;545;164;-2551,05657;49
3,184609238;63,56735261;4,019145324;31475,7786;527;112;-1915,809055;50
1,926508788;27,84608619;4,841901109;25178,2532;514;132;-2042,840783;51
3,30930564;62,84607624;4,2800609;31647,64273;514;122;-2189,553598;52
2,869153231;52,09618765;4,428873316;30369,84319;543;138;-2346,911099;53
2,689497046;43,71276445;4,382242795;28745,76457;514;140;-2384,473426;54
2,775221456;49,2413529;4,333622121;29336,867;537;120;-2175,666783;55
